"","type","signal","measure","axis","transform","value"
"1","body","accelerometer","mean","total","no",-0.54822165976717
"2","body","accelerometer","mean","total","yes",-0.585962696268539
"3","body","accelerometer","mean","x","no",0.274347260646063
"4","body","accelerometer","mean","x","yes",-0.622761658493734
"5","body","accelerometer","mean","y","no",-0.0177434918458972
"6","body","accelerometer","mean","y","yes",-0.53749328145871
"7","body","accelerometer","mean","z","no",-0.108925032737064
"8","body","accelerometer","mean","z","yes",-0.665033506271952
"9","body","accelerometer","std","total","no",-0.591225327146546
"10","body","accelerometer","std","total","yes",-0.659531216655476
"11","body","accelerometer","std","x","no",-0.607783818968688
"12","body","accelerometer","std","x","yes",-0.603356276555826
"13","body","accelerometer","std","y","no",-0.510191378479501
"14","body","accelerometer","std","y","yes",-0.528420009576204
"15","body","accelerometer","std","z","no",-0.61306429934125
"16","body","accelerometer","std","z","yes",-0.617874813333395
"17","body","gyroscope","mean","total","no",-0.683693090381868
"18","body","gyroscope","mean","total","yes",-0.738589351406732
"19","body","gyroscope","mean","x","no",-0.0638458813221559
"20","body","gyroscope","mean","x","yes",-0.672094306818974
"21","body","gyroscope","mean","y","no",-0.0585187967888495
"22","body","gyroscope","mean","y","yes",-0.70621663959074
"23","body","gyroscope","mean","z","no",0.0167634772151678
"24","body","gyroscope","mean","z","yes",-0.644192752866115
"25","body","gyroscope","std","total","no",-0.720263117847681
"26","body","gyroscope","std","total","yes",-0.746083290776264
"27","body","gyroscope","std","x","no",-0.726270565580862
"28","body","gyroscope","std","x","yes",-0.738594816501343
"29","body","gyroscope","std","y","no",-0.734357913610919
"30","body","gyroscope","std","y","yes",-0.674226934551517
"31","body","gyroscope","std","z","no",-0.696799034797158
"32","body","gyroscope","std","z","yes",-0.690446312501126
"33","body","jerkcalc","mean","total","no",-0.649417950650692
"34","body","jerkcalc","mean","total","yes",-0.620789916331592
"35","body","jerkcalc","mean","x","no",0.0789381220355816
"36","body","jerkcalc","mean","x","yes",-0.656713524546605
"37","body","jerkcalc","mean","y","no",0.0079481069090025
"38","body","jerkcalc","mean","y","yes",-0.628961179980356
"39","body","jerkcalc","mean","z","no",-0.00467469823628666
"40","body","jerkcalc","mean","z","yes",-0.743608246170053
"41","body","jerkcalc","std","total","no",-0.627762945785391
"42","body","jerkcalc","std","total","yes",-0.640076803144351
"43","body","jerkcalc","std","x","no",-0.63978102073413
"44","body","jerkcalc","std","x","yes",-0.654979816705833
"45","body","jerkcalc","std","y","no",-0.607971599340832
"46","body","jerkcalc","std","y","yes",-0.612243590244114
"47","body","jerkcalc","std","z","no",-0.762820240449202
"48","body","jerkcalc","std","z","yes",-0.780928428167213
"49","gravity","accelerometer","mean","total","no",-0.54822165976717
"50","gravity","accelerometer","mean","x","no",0.669226222373046
"51","gravity","accelerometer","mean","y","no",0.00403879092060517
"52","gravity","accelerometer","mean","z","no",0.0921508600211059
"53","gravity","accelerometer","std","total","no",-0.591225327146546
"54","gravity","accelerometer","std","x","no",-0.965207115039421
"55","gravity","accelerometer","std","y","no",-0.95440802665318
"56","gravity","accelerometer","std","z","no",-0.938900969424022
